,,,,,,,,,,,
,城市,酒店,原名称,平台,星级,房型,对于Qunar - 订购网站,价格,返现,website,
,北京,北京巴比伦时尚酒店,北京巴比伦时尚酒店,Ctrip,2,商务大床房[含早],,358,,http://hotels.ctrip.com/hotel/70786.html,
,北京,北京巴比伦时尚酒店,北京巴比伦时尚酒店,eLong,3,商务大床房,,358,41,http://hotel.elong.com/beijing/40101860/,
,北京,北京巴比伦时尚酒店,北京巴比伦时尚酒店,Qunar,2,商务大床房,易程旅行网,358,47,http://hotel.qunar.com/city/beijing_city/dt-9572/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%8C%97%E4%BA%AC%E5%B7%B4%E6%AF%94%E4%BC%A6%E6%97%B6%E5%B0%9A%E9%85%92%E5%BA%97&from=hotellist%7Csug&filterid=8cfad937-d3c8-4c6a-a9e2-fb0a0575ec93_C&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A52A752D&QHPR=1_1_0_0,
,北京,北京华沿酒店,北京华沿大酒店,Ctrip,3,商务双床房,,398,,http://hotels.ctrip.com/hotel/512702.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京华沿酒店,北京华沿大酒店,eLong,4,商务房,,398,56,http://hotel.elong.com/beijing/70101345/,
,北京,北京华沿酒店,北京华沿酒店,Qunar,3,商务标准房,1.住哪网,398,73,http://hotel.qunar.com/city/beijing_city/dt-22397/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%8C%97%E4%BA%AC%E5%8D%8E%E6%B2%BF%E5%A4%A7%E9%85%92%E5%BA%97&from=hotellist%7Csug&filterid=4a91d1ad-5589-4c3d-80a3-a22def7b2d3a_A&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A58122C2&QHPR=1_1_0_0,
,北京,北京华泰饭店,北京华泰饭店,Ctrip,3,商务大床间[含早],,302,,http://hotels.ctrip.com/hotel/6473.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京华泰饭店,北京华泰饭店,eLong,3,商务大床间,,328,46,http://hotel.elong.com/beijing/30101020/,
,北京,北京华泰饭店,北京华泰饭店,Qunar,3,商务大床间,1.住哪网,328,,http://hotel.qunar.com/city/beijing_city/dt-335/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%8C%97%E4%BA%AC%E5%8D%8E%E6%B3%B0%E9%A5%AD%E5%BA%97&from=hotellist%7Csug&filterid=8d7cf187-de52-4fd4-a289-533d0be27042_C&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A5834FED&QHPR=1_1_0_0,
,北京,北京金鼎弘泰大酒店,北京金鼎弘泰大酒店,Ctrip,3,商务标准间,,165,,http://hotels.ctrip.com/hotel/697553.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京金鼎弘泰大酒店,北京金鼎弘泰大酒店,eLong,3,商务标准间 (还剩3间),,195,21,http://hotel.elong.com/beijing/10101478/,
,北京,北京金鼎弘泰大酒店,北京金鼎弘泰大酒店,Qunar,3,商务标准间,3.酒店之家,298,65,http://hotel.qunar.com/city/beijing_city/dt-18259/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%8C%97%E4%BA%AC%E9%87%91%E9%BC%8E%E5%BC%98%E6%B3%B0%E5%A4%A7%E9%85%92%E5%BA%97&from=hotellist%7Csug&filterid=9fb76570-a9a1-41eb-ba07-0143c2412b0c_A&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A5858403&QHPR=1_1_0_0,
,北京,北京诗语圆床主题服务公寓华贸店,诗语圆床主题服务公寓（北京华贸店）,Ctrip,3,主题圆床房(中宾),,598,,http://hotels.ctrip.com/hotel/458846.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京诗语圆床主题服务公寓华贸店,北京诗语圆床主题服务公寓（华贸店）,eLong,4,主题豪华房,,689,101,http://hotel.elong.com/beijing/60101872/,
,北京,北京诗语圆床主题服务公寓华贸店,北京诗语圆床主题服务公寓华贸店,Qunar,3,主题豪华房,1.来订吧,698,70,http://hotel.qunar.com/city/beijing_city/dt-22670/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%8C%97%E4%BA%AC%E8%AF%97%E8%AF%AD%E5%9C%86%E5%BA%8A%E4%B8%BB%E9%A2%98%E6%9C%8D%E5%8A%A1%E5%85%AC%E5%AF%93%E5%8D%8E%E8%B4%B8%E5%BA%97&from=hotellist%7Csug&filterid=57317f29-23c8-43e0-915b-46e1af5572c2_C&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A58A42CD&QHPR=1_1_0_0,
,北京,北京泰顺商务酒店,北京泰顺商务酒店,Ctrip,3,豪华标准间,,268,,http://hotels.ctrip.com/hotel/434266.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京泰顺商务酒店,北京泰顺商务酒店,eLong,3,豪华标准间,,268,46,http://hotel.elong.com/beijing/20101463/,
,北京,北京泰顺商务酒店,北京泰顺商务酒店,Qunar,3,豪华标准间,1.来订吧,258,45,http://hotel.qunar.com/city/beijing_city/dt-12641/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%8C%97%E4%BA%AC%E6%B3%B0%E9%A1%BA%E5%95%86%E5%8A%A1%E9%85%92%E5%BA%97&from=hotellist%7Csug&filterid=6456e199-ad25-495e-ba4c-72ed164b4469_A&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A58C614A&QHPR=1_1_0_0,
,北京,北京顺祥家园酒店,北京顺祥家园酒店,Ctrip,3,大床间(内宾),,258,,http://hotels.ctrip.com/hotel/61813.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京顺祥家园酒店,北京顺祥家园酒店,eLong,3,大床房,,258,46,http://hotel.elong.com/beijing/10101023/,
,北京,北京顺祥家园酒店,北京顺祥家园酒店,Qunar,3,大床间,1.来订吧,258,45,http://hotel.qunar.com/city/beijing_city/dt-2549/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E5%8C%97%E4%BA%AC%E9%A1%BA%E7%A5%A5%E5%AE%B6%E5%9B%AD%E9%85%92%E5%BA%97&from=hotellist%7Csug&filterid=6b64c764-11a5-4714-822c-16bbfbdce910_A&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A5AE26F7&QHPR=1_1_0_0,
,北京,速8酒店北京昌平鼓楼东街店,速8酒店（北京昌平鼓楼东街店）,Ctrip,3,标准大床间,,198,,http://hotels.ctrip.com/hotel/473815.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,速8酒店北京昌平鼓楼东街店,速8酒店（北京昌平鼓楼东街店）,eLong,0,标准大床房,,198,31,http://hotel.elong.com/beijing/10101638/,
,北京,速8酒店北京昌平鼓楼东街店,速8酒店北京昌平鼓楼东街店,Qunar,3,标准大床房,1.酒店之家,198,44,http://hotel.qunar.com/city/beijing_city/dt-20071/?tag=beijing_city#fromDate=2014-02-27&toDate=2014-02-28&q=%E9%80%9F8%EF%BC%88%E5%8C%97%E4%BA%AC%E6%98%8C%E5%B9%B3%E9%BC%93%E6%A5%BC%E4%B8%9C%E8%A1%97%E5%BA%97%EF%BC%89&from=hotellist&filterid=4e7baefa-5cf4-44d6-801b-3941617d1300_A&showMap=0&qptype=hotelName|poi&haspoi=1&QHFP=ZSS_A5B0493D&QHPR=1_1_0_0,
查无此店,北京,北京古槐苑四合院宾馆（北京河北迎宾馆）,北京河北迎宾馆（古槐苑四合院宾馆）,Ctrip,3,经济标准间,,298,,http://hotels.ctrip.com/hotel/434881.html#ctm_ref=hd_0_0_0_0_lst_sr_1_df_ls_1_n_hi_0_0_0,
,北京,北京古槐苑四合院宾馆（北京河北迎宾馆）,北京古槐苑四合院宾馆（北京河北迎宾馆）,eLong,4,经济标间,,298,36,http://hotel.elong.com/beijing/60101112/,
